mz,rt_peak,label,rt_min,rt_max,mz_tolerance,polarity,inchi_key,indentification notes,adduct,Check
146.04588,15.94,Glutamic acid,15.44,16.44,10,negative,WHUUTDBJXJRKMK-VKHMYHEASA-N,ionizes in both polarities.,[M-H]-,
132.0302,16.13,Aspartic acid,15.63,16.63,10,negative,CKLJMWTZIZZHCS-REOHCLBHSA-N,ionizes in both polarities.,[M-H]-,
239.0165,16.9,Cystine,16.4,17.4,10,negative,LEVWYRKDKASIDU-IMJSIDKUSA-N,ionizes in both polarities.,[M-H]-,
173.1044,16.94,Arginine,16.44,17.44,10,negative,ODKSFYDXXFIFQN-BYPYZUCNSA-N,ionizes in both polarities.,[M-H]-,
145.0982,17.01,Lysine,16.51,17.51,10,negative,KDXKERNSBIXSRK-YFKPBYRVSA-N,ionizes in both polarites. HILz: neg pk at rt -1.9 min is in src frac of N-acetyl-Lys,[M-H]-,
205.0362,1.08,Thioctic acid,0.58,1.58,10,negative,AGBQKNBQESQNJD-SSDOTTSWSA-N,ionizes in both polarities.,[M-H]-,
136.0404,1.2,4-Aminobenzoic acid,0.7,1.7,10,negative,ALYNCZNDIQEVRV-UHFFFAOYSA-N,ionizes in both polarities.,[M-H]-,
257.0773,2.13,5-Methyluridine,1.63,2.63,10,negative,DWRXFEITVBNRMK-JXOAFFINSA-N,ionizes in both polarities.,[M-H]-,
168.0666,2.16,Pyridoxine,1.66,2.66,10,negative,LXNHXLLTXMVWPM-UHFFFAOYSA-N,ionizes in both polarities.,[M-H]-,
151.0261,2.73,Xanthine,2.23,3.23,10,negative,LRFVTYWOQMYALW-UHFFFAOYSA-N,ionizes in both polarity. HILz: pks at RT +6.2 and +7.5 min are in src frags of xanthosine,[M-H]-,
243.0622,2.89,Uridine,2.39,3.39,10,negative,DRTQHJPVMGBUCF-XVFCMESISA-N,ionizes in both polarities.,[M-H]-,
266.0895,3.09,Adenosine,2.59,3.59,10,negative,OIRDTQYFTABQOQ-KQYNXXCUSA-N,ionizes in both polarities.,[M-H]-,
243.0809,3.42,Biotin,2.92,3.92,10,negative,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,ionizes in both polarities. HILz: pk at rt +2.50 is X,[M-H]-,
149.0455234,3.64,Xylose,2,5,10,negative,PYMYPHUHKUWMLA-VPENINKCSA-N,ionizes in neg polarity.,[M-H]-,
209.0667,3.64,Xylose,2,5,10,negative,PYMYPHUHKUWMLA-VPENINKCSA-N,ionizes in neg polarity.,[M+acetate]-,
375.131,4.56,Riboflavin,4.06,5.06,10,negative,AUNGANRZJHBGPY-SCRDCRAPSA-N,ionizes in both polarities.,[M-H]-,
89.02439405,5.06,Lactic acid,4.56,5.56,10,negative,JVTAAEKCZFNVCJ-REOHCLBHSA-N,ionizes in neg polarity.,[M-H]-,
122.0247,5.63,Nicotinic acid,5.13,6.13,10,negative,PVNIIMVLHYAWGP-UHFFFAOYSA-N,ionizes in NEG polarities. HILz: NEG pks at RT -4.7 min and + 2.5 are X,[M-H]-,
87.00874399,6.21,Pyruvic acid,5.71,6.71,10,negative,LCTONWCANYUPML-UHFFFAOYSA-N,ionizes in neg polarity.,[M-H]-,
242.0782205,6.93,Cytidine,6.43,7.43,10,negative,UHDGCWIWMRVCDJ-XVFCMESISA-N,ionizes in both polarities.,[M-H]-,
220.0826372,6.31,N-Acetyl-D-Glucosamine,5.81,6.81,10,negative,OVRNDRQMDRJTHS-RTRLPJTCSA-N,ionizes in both polarities.,[M-H]-,
218.1034,6.96,Pantothenic acid,6.46,7.46,10,negative,GHOKWGTUZJEAQD-ZETCQYMHSA-N,ionizes in both polarities.,[M-H]-,
179.0560881,7,Glucose peak 1,5,9,10,negative,WQZGKKKJIJFFOK-DVKNGEFBSA-N,ionizes in both polarities. HILz: pks at rt +2.6 and +2.8 is myo-inositol,[M-H]-,
215.0328,7,Glucose peak 1,5,9,10,negative,WQZGKKKJIJFFOK-DVKNGEFBSA-N,ionizes in both polarities. HILz: pks at rt +2.6 and +2.8 is myo-inositol,[M+Cl]-,
179.0560881,8,Glucose all peaks,6,10,10,negative,WQZGKKKJIJFFOK-DVKNGEFBSA-N,ionizes in both polarities. HILz: pks at rt +2.6 and +2.8 is myo-inositol,[M-H]-,
215.0328,8,Glucose all peaks,6,10,10,negative,WQZGKKKJIJFFOK-DVKNGEFBSA-N,ionizes in both polarities. HILz: pks at rt +2.6 and +2.8 is myo-inositol,[M+Cl]-,
282.0844,8.2,Guanosine,7.7,8.7,10,negative,NYHBQMYGNKIUIF-UUOKFMHZSA-N,ionizes in both polarities.,[M-H]-,
263.0972,8.34,Thiamine,7.84,8.84,10,negative,JZRWCGZRTZMZEH-UHFFFAOYSA-N,ionizes in both polarities. HILz: pks at RT -5.6 and -6.6 min are X,[M-2H]-,
136.0404,8.73,Trigonelline,8.23,9.23,10,negative,WWNNZCOKKKDOPX-UHFFFAOYSA-O,ionizes in pos polarity.,[M-2H]-,
179.0560881,9,Glucose peak 2,7,11,10,negative,WQZGKKKJIJFFOK-DVKNGEFBSA-N,ionizes in both polarities. HILz: pks at rt +2.6 and +2.8 is myo-inositol,[M-H]-,
215.0328,9,Glucose peak 2,7,11,10,negative,WQZGKKKJIJFFOK-DVKNGEFBSA-N,ionizes in both polarities. HILz: pks at rt +2.6 and +2.8 is myo-inositol,[M+Cl]-,
283.0683841,9.1,Xanthosine peak 1,8.6,9.6,10,negative,UBORTCNDUKBEOP-UUOKFMHZSA-N,ionizes in both polarities.,[M-H]-,
117.0193087,9.67,Succinic acid,9.17,10.17,10,negative,KDYFGRWQOYBRFD-UHFFFAOYSA-N,ionizes in neg polarity.,[M-H]-,
283.0684,10.62,Xanthosine peak 2,9.62,11.62,10,negative,UBORTCNDUKBEOP-UUOKFMHZSA-N,ionizes in both polarities.,[M-H]-,
124.0073641,12.16,Taurine,11.66,12.66,10,negative,XOAAWQZATWQOTB-UHFFFAOYSA-N,ionizes in both polarities.,[M-H]-,
292.1032,12.49,N-Acetyl-D-Muramic acid ,11.99,12.99,10,negative,MNLRQHMNZILYPY-MKFCKLDKSA-N,ionizes in both polarities. HILz: neg pk at rt -0.8 min is not n-acetyl-mumaric acid,[M-H]-,
141.0669276,12.5,Ectoine,12,13,10,negative,WQXNXVUDBPYKBA-YFKPBYRVSA-N,ionizes in both polarities.,[M-H]-,
187.0719,12.67,N-Acetyl-Glutamine,12.17,13.17,10,negative,KSMRODHGGIIXDV-UHFFFAOYSA-N,ionizes in both polarities.,[M-H]-,
179.0561,12.78,Myo-inositol peak 1,12.28,13.28,10,negative,CDAISMWEOUEBRE-UHFFFAOYSA-N,ionizes in both polarities. HILz: neg pk at rt -3.7 min is in glucose (isomer),[M-H]-,
341.1089,12.87,Sucrose,11.87,13.87,10,negative,CZMRCDWAGMRECN-UGDNZRGBSA-N,ionizes in both polarities. HILz: pk at rt +1.50 is trehalose (isomer),[M-H]-,
179.0561,12.88,Myo-inositol both peaks,12.38,13.38,10,negative,CDAISMWEOUEBRE-UHFFFAOYSA-N,ionizes in both polarities. HILz: neg pk at rt -3.8 min is in glucose (isomer),[M-H]-,
179.0561,12.98,Myo-inositol peak 2,12.48,13.48,10,negative,CDAISMWEOUEBRE-UHFFFAOYSA-N,ionizes in both polarities. HILz: neg pk at rt -3.9 min is in glucose (isomer),[M-H]-,
173.0455,13.47,Shikimic acid peak 1,12.97,13.97,10,negative,JXOHGGNKMLTUBP-HSUXUTPPSA-N,ionizes in both polarities.,[M-H]-,
173.0455,13.47,Shikimic acid both peaks,12.97,13.97,10,negative,JXOHGGNKMLTUBP-HSUXUTPPSA-N,ionizes in both polarities.,[M-H]-,
173.0455,13.69,Shikimic acid peak 2,13.19,14.19,10,negative,JXOHGGNKMLTUBP-HSUXUTPPSA-N,ionizes in both polarities.,[M-H]-,
187.1082,13.95,N-Acetyl-Lysine peak 1,12.95,14.95,10,negative,DTERQYGMUDWYAZ-ZETCQYMHSA-N,ionizes in both polarities.,[M-H]-,
133.0142,14,Malic acid peak 1,13,15,10,negative,BJEPYKJPYRNKOW-UWTATZPHSA-N,ionizes in neg polarity.,[M-H]-,
102.0561,14.39,Gamma-Aminobutyric acid,13.89,14.89,10,negative,BTCSSZJGUNDROE-UHFFFAOYSA-N,ionizes in both polarities.,[M-H]-,
133.0142,14.1,Malic acid all peaks,12.1,16.1,10,negative,BJEPYKJPYRNKOW-UWTATZPHSA-N,ionizes in neg polarity.,[M-H]-,
133.0142,14.3,Malic acid peak 2,13.3,15.3,10,negative,BJEPYKJPYRNKOW-UWTATZPHSA-N,ionizes in neg polarity.,[M-H]-,
145.0142,14.46,Alpha-Ketoglutaric acid,13.96,14.96,10,negative,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ionizes in neg polarity.,[M-H]-,
174.0884,15.09,Citrulline,14.59,15.59,10,negative,RHGKLRLOHDJJDR-BYPYZUCNSA-N,ionizes in both polarities.,[M-H]-,
188.0564,15.16,N-Acetyl-Glutamic acid,14.66,15.66,10,negative,RFMMMVDNIPUKGG-YFKPBYRVSA-N,ionizes in both polarities.,[M-H]-,
187.1082,15.27,N-Acetyl-Lysine peak 2,14.27,16.27,10,negative,DTERQYGMUDWYAZ-ZETCQYMHSA-N,ionizes in both polarities.,[M-H]-,
191.0197,15.8,Citric acid peak 1,15.3,16.3,10,negative,ODBLHEXUDAPZAU-UHFFFAOYSA-N,ionizes in neg polarity.,[M-H]-,
440.1324,15.8,Folic acid,15.3,16.3,10,negative,OVBPIULPVIDEAO-LBPRGKRZSA-N,ionizes in both polarities.,[M-H]-,
191.0197,16.4,Citric acid all peaks,15.9,16.9,10,negative,ODBLHEXUDAPZAU-UHFFFAOYSA-N,ionizes in neg polarity.,[M-H]-,
191.0197,16.6,Citric acid peak 2,16.1,17.1,10,negative,ODBLHEXUDAPZAU-UHFFFAOYSA-N,ionizes in neg polarity.,[M-H]-,
120.0124,16.9,Cysteine,16.4,17.4,10,negative,XUJNEKJLAYXESH-REOHCLBHSA-N,ionizes in both polarities.,[M-H]-,
131.0826,17.04,Ornithine,16.54,17.54,10,negative,AHLPHDHHMVZTML-BYPYZUCNSA-N,"ionizes in both polarities. HILz: neg pk at RT - 0.2 is an in source fragment of arginine, pk rt-2.0 min is in source of citrulline",[M-H]-,
